state,letter,HPV,MenACWY,Tdap,Flu,HPV_se,MenACWY_se,Tdap_se,Flu_se
Alabama,Required-only,60.3,86.7,91.6,40.4,3.1122448979591844,2.1938775510204103,1.9897959183673462,2.5510204081632653
Alaska,No letter,54.4,74.9,82.4,36.5,3.852040816326531,3.4948979591836706,3.239795918367348,3.979591836734693
Arizona,All-inclusive,63.1,89.4,87.8,41.1,3.4693877551020393,2.270408163265304,2.500000000000003,3.214285714285715
Arkansas,No letter,52.9,94.5,95.1,45.1,3.443877551020408,1.6071428571428565,1.5561224489795904,3.5714285714285716
California,Required-only,57.6,85.0,88.3,55.8,4.081632653061226,2.780612244897957,2.525510204081634,2.2448979591836746
Colorado,Required-only,68.5,89.9,93.5,50.2,3.061224489795918,1.8877551020408179,1.454081632653062,2.6020408163265296
Connecticut,No letter,71.2,97.3,93.3,60.2,4.6683673469387745,1.7857142857142858,2.933673469387755,3.469387755102041
Delaware,No letter,73.0,89.0,91.3,55.1,3.0357142857142874,2.397959183673471,2.1173469387755097,3.6734693877551017
Florida,No letter,64.4,80.8,90.6,37.1,3.8775510204081622,3.341836734693876,2.372448979591836,2.499999999999999
Georgia,All-inclusive,40.5,91.6,91.1,37.5,4.540816326530614,2.7295918367346945,2.831632653061227,3.1632653061224496
Hawaii,Required-only,70.4,85.9,86.8,57.1,3.0867346938775495,2.397959183673471,2.270408163265304,3.9795918367346963
Idaho,No letter,53.4,86.1,86.6,32.0,3.775510204081632,2.831632653061227,2.729591836734691,4.081632653061225
Illinois,All-inclusive,69.1,92.8,92.9,45.4,2.2704081632653077,1.1224489795918382,1.1989795918367354,2.0408163265306123
Indiana,No letter,61.8,95.4,97.4,38.5,3.6224489795918373,1.4795918367346932,0.994897959183675,2.5510204081632653
Iowa,Required-only,68.2,92.2,93.5,46.6,3.775510204081632,2.32142857142857,2.1683673469387754,3.6224489795918373
Kansas,No letter,60.4,90.7,89.3,34.8,3.2653061224489788,2.1173469387755097,2.2193877551020416,3.1632653061224487
Kentucky,All-inclusive,47.9,84.0,84.6,37.5,3.6479591836734704,2.908163265306124,2.882653061224493,3.316326530612245
